-------------------------------------------------------------------------------- 
---           PROCESO DE CARGA DE RETENCIONES ARCV FARMATODO VE              --- 
-------------------------------------------------------------------------------- 
  NOMBRE ARCHIVO:    \\desarrollo-ws\Respaldo_ProcesosTP\In\OrdendeProcesos\Comunidades\Hub-04-Farmatodo\Financiero\ARCV\arcv.txt
  FECHA DE LA CARGA: 19/10/2017 04:06:06 p.m.
 
19/10/2017 04:06:06 p.m.,  LEYENDO ARCHIVO XML DE CONFIGURACION
19/10/2017 04:06:06 p.m.,  PARAMETROS DEL ARCHIVO XML CARGADOS SATISFACTORIAMENTE
19/10/2017 04:06:06 p.m.,  PARAMETROS DE ENTRADA DEL SISTEMA CARGADOS SATISFACTORIAMENTE.  NOMBRE ARCHIVO: \\desarrollo-ws\Respaldo_ProcesosTP\In\Orden de Procesos\Comunidades\Hub-04 - Farmatodo\Financiero\ARCV\arcv.txt
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5783725 PROVEEDOR: INVERSIONES SANTA FE CODIGO: 5783 LINEA: 1
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 4862705 PROVEEDOR: HERMANOS CAIGUA C.A. CODIGO: 4862 LINEA: 10
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 2584709 PROVEEDOR: ROBERTO VAINRUB ACKERMAN CODIGO: 2584 LINEA: 19
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 61882139 PROVEEDOR: CAUCHOS RIO DE ORO, C.A. CODIGO: 6188 LINEA: 28
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 61752142 PROVEEDOR: MONYTORCA C.A. CODIGO: 6175 LINEA: 30
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5567934 PROVEEDOR: PORTICO ENTERPRISES L.T.D. CODIGO: 5567 LINEA: 33
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 4
